,country_id,country,year,ISO_code,economic_freedom,rank,quartile,government_consumption,transfers,gov_enterprises,top_marg_tax_rate,size_government,judicial_independence,impartial_courts,protection_property_rights,military_interference,integrity_legal_system,legal_enforcement_contracts,restrictions_sale_real_property,reliability_police,business_costs_crime,gender_adjustment,property_rights,money_growth,std_inflation,inflation,freedom_own_foreign_currency,sound_money,tariffs,regulatory_trade_barriers,black_market,control_movement_capital_ppl,trade,credit_market_reg,labor_market_reg,business_reg,regulation
0,2,Albania,2015,ALB,7.53,34.0,1.0,8.185294118,7.509902296,8.0,8.0,7.9237991029999995,2.7460468989999995,2.97014404,4.228486942,8.333333332999999,4.166666667,4.387444055,6.386673238999999,6.719298362999999,6.278342661,0.9487179490000001,5.003488819,9.292549966000001,9.427512887999999,9.622438094,10.0,9.585625237,8.872444444,7.4221751860000005,10.0,6.155187344,8.112451744,7.542999999999999,6.830576453,6.733388164,7.035654872
1,3,Algeria,2015,DZA,4.83,156.0,4.0,1.611764706,7.817129014,0.0,4.5,3.48222343,4.072191392,4.156907806,4.388349541,4.166666667,5.0,4.507538039,6.626692153,6.08695666,5.999988957999999,0.8205128209999999,4.551817203,7.025469628,6.342685256,9.043004607,5.0,6.852789873,6.836266667,2.1436945080000003,5.563909774,1.4898568980000002,4.0084319619999995,5.190333333,4.941934815,5.662040431,5.2647695269999994
2,6,Angola,2015,AGO,5.44,148.0,4.0,6.235294118,8.886739306,0.0,9.5,6.155508356,1.843129164,1.974565724,2.5123641869999997,3.333333333,4.166666667,2.302200397,5.423011165,3.0161039869999997,4.291196631,0.846153846,2.960263718,9.052059273,5.545665112999999,7.944134656,5.0,6.88546476,6.9648,1.566369167,10.0,2.044822683,5.143997963,8.731571831,4.560324821,4.904853431,6.065583361
3,9,Argentina,2015,ARG,4.98,153.0,4.0,5.285294118,6.048930423,6.0,4.0,5.333556135,3.030578338,2.8947949410000002,3.655030465,7.5,3.333333333,4.123465983,6.857195103,3.2801417510000004,4.1527913530000005,0.7692307690000001,3.81636162,5.179317925,5.918005001,4.724,10.0,6.455330731,5.8207111110000005,4.59670072,0.0,4.505738092,3.730787481,6.7620000000000005,4.9658975210000005,4.920120936,5.549339485
4,10,Armenia,2015,ARM,7.59,29.0,1.0,7.5352941179999995,7.748532262,8.0,5.0,7.070956595,3.604283587,4.040783122,5.482346623,5.833333333,5.0,5.196692523,9.80196309,5.675675869,7.365155344,1.0,5.777803721000001,9.53589504,9.134324075,9.254682793999999,10.0,9.481225477999999,8.760977777999999,7.303879447000001,10.0,6.905620723999999,8.242619487,8.995666667,6.32367193,6.775412079,7.364916892
5,12,Australia,2015,AUS,8.0,8.0,1.0,4.708823529,6.664947872000001,10.0,5.0,6.59344285,8.729690834,5.94367355,8.090725441,10.0,9.166666667000001,6.163151928,8.205654997,8.764045238,6.889687177999999,1.0,7.994810648,8.823098382000001,8.919129002,9.698326656,10.0,9.36013851,9.024444444,7.462165481,10.0,3.916359833,7.60074244,9.583666667000001,7.657235129,8.128532984,8.45647826
6,13,Austria,2015,AUT,7.64,27.0,1.0,3.6941176469999997,3.10106205,10.0,3.5,5.0737949239999995,7.290996561,6.187249637000001,8.194186048999999,10.0,10.0,6.220992578,8.10049394,8.634920915,7.511032535,1.0,8.015541357,8.759314604,9.886400242999999,9.820686767,10.0,9.616600404,8.360586579,8.181185675,10.0,5.946016104,8.12194709,9.126666667,5.552088659,7.485377572999999,7.388044299
7,14,Azerbaijan,2015,AZE,6.38,115.0,3.0,6.379411765,7.881207817000001,0.0,6.5,5.190154896,4.435002936,5.0218711560000004,5.404651509,5.0,5.833333333,7.252962407999999,9.773614234,5.454725663,7.579224851,0.7179487179999999,5.321383003,9.700889862999999,5.364751543,9.165606855,5.0,7.307812065,7.896044444,6.613404012999999,10.0,3.902949237,7.103099424,7.572666667000001,6.396694666,6.96178148,6.977047604
8,15,Bahamas,2015,BHS,7.35,50.0,2.0,7.167647059,9.040503457,7.0,10.0,8.302037628999999,,6.6,,10.0,7.5,4.699256582,6.149350211000001,,,0.9459459459999999,6.80080997,8.685871083,8.805351203999999,9.626,0.0,6.779305572,3.376933333,8.105924622,10.0,5.384615385,6.716868335,8.622733198999999,8.361606213,7.523034376,8.169124596
9,16,Bahrain,2015,BHR,7.37,48.0,2.0,3.487887387,9.581704339,4.0,10.0,6.767397932000001,6.822563237000001,6.23140069,7.435712795,5.0,7.5,4.785814418,8.855314534,7.764705817,7.287250156,0.5365853660000001,5.2656016039999995,9.961595769,7.133846847999999,9.632801261000001,10.0,9.182060969,8.610933333,6.295594508,10.0,4.794819166,7.425336752000001,8.425,8.217012812,8.060501012000001,8.234171275
10,17,Bangladesh,2015,BGD,6.33,117.0,3.0,9.723529412000001,9.724590355,7.0,9.0,8.862029942000001,3.175273527,3.0430307830000003,4.73456947,4.166666667,3.333333333,0.941148344,3.087607391,3.477366368,4.298547449,0.794871795,3.01713395,9.826859697,9.529689589,8.761143954,0.0,7.02942331,6.636755556000001,3.035673925,10.0,4.291019623,5.9908622760000005,7.877333332999999,7.261758671,5.046516275,6.728536093
11,18,Barbados,2015,BRD,6.5,107.0,3.0,7.647058824,5.968941943,6.0,6.0,6.404000192000001,6.43016363,4.110034171000001,6.498498057000001,9.8,,3.8030033289999996,6.174797133999999,7.495681957,4.895975012,0.871794872,5.756723061000001,7.851123006,9.273955245,9.787756706,0.0,6.728208738999999,7.282577777999999,5.661880367,10.0,5.415144845,7.089900747000001,6.286333332999999,7.139466704,6.1632737760000005,6.529691271
